ticker,signal_date,system,pattern_family,A_sobreventa_estructural,B_rebote_suave,D_pullback_controlado,E_microcorreccion_compresion,rsi14,atr14,dist_ema20_atr,dist_bb_lo_atr,body_atr_ratio,wick_low_atr_ratio,bb_width,dist_ema20_pct,dist_ema50_pct,roc10,vol_zscore10,trend_regime,market_bucket,is_trend_up,is_trend_down,is_trend_range,is_supersignal_v40,supersignal_tipo_v40,is_e_prime_v40,is_change_candidate,quality_tier,quality_note,signal_score,signal_score_reasons,setup_code,setup_note,holding_horizon_days,trade_style,entry_price,stop_price,target_price,signal_status
ZTS,2026-04-23,v40,B,False,True,False,False,42.487556545504006,3.2325139898786865,-0.9176570031673812,0.6129162817350885,-0.3495746302570154,0.3433861736800155,2.743538321835549,-2.4921703749826163,-3.728707568243917,-3.275273252056954,0.04991743040776,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ABBV,2026-04-24,v40,B,False,True,False,False,34.09297197510439,5.150254261729466,-1.6701847294138215,-0.00223375427197799,-0.04271361193732419,0.30290015562434164,3.609525953449109,-4.149244079539393,-6.880694144142419,-4.438778310652324,0.534102419692201,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ACN,2026-04-24,v40,B,False,True,False,False,34.30297650720662,7.706583478555639,-1.7604418898641694,-0.08415229761749148,-0.050606003390951504,0.5865120756867572,3.458074999312701,-7.068829752273176,-12.834381388834949,-0.6517006499752953,-0.9288647799927969,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
ADP,2026-04-24,v40,B,False,True,False,False,40.15191026247941,5.094057894901891,-0.8908510657885923,0.8984483015234298,-0.0922646013060629,0.3180166285131569,3.139245007670348,-2.2569707132830907,-6.53405398939515,4.0997964767302,0.5489078526648568,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
BRK-B,2026-04-24,v40,B,False,True,False,False,39.29532471476841,6.345674318784425,-0.9427279727938319,0.5912775966444489,0.08194866378670608,0.3305358956608252,3.0496511381616873,-1.258619049509968,-2.5881345530396116,-2.2046231937539296,-1.3227777656402717,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
CPRT,2026-04-24,v40,E,False,False,False,True,41.5108907092658,0.8329964245511927,-0.557458136144446,0.7261770421997196,-0.6242529288692219,0.3961577824721401,1.7980953657931464,-1.3847308542300096,-4.977206147800506,0.946280186733861,-0.2854443946009596,RANGE,US_OR_OTHER,False,False,True,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,5,"quality=AVOID,pattern_E_disabled",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
CSGP,2026-04-24,v40,B_D,False,True,True,False,32.75433775485983,1.8402478273447267,-1.60476349324985,0.15292159620575257,-0.4564603419746632,0.2173607843671718,3.041346190260362,-7.496637601557765,-16.764074059567548,-0.10965163385223686,-0.7343901910505483,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
CTT.LS,2026-04-24,v40,D,False,False,True,False,42.37103425803318,0.17631157182682583,-1.050009217832959,2.526558624985382,-0.3686658598013203,0.08507590471899741,6.479569747728627,-2.859074825140573,-4.887743367092867,-6.883791927609417,0.10907779400619198,DOWN,EU,False,True,False,False,,False,False,MEDIUM,D_EU_TACTICAL es uno de los pocos setups rescatables.,68,"quality=MEDIUM,pattern_D_weak_base,D_EU_context_rescue",D_EU_TACTICAL,Pullback táctico europeo en contexto específico.,5,tactical_pullback_compact,6.289999961853027,6.113688390026201,6.536836162410584,new
CVX,2026-04-24,v40,B,False,True,False,False,41.20531942863319,5.16568181975259,-0.990660555757133,1.8428032289599252,-0.003869578957691968,0.38717057491856705,6.731668711145104,-2.688754241944047,-1.9215093736448363,-1.7714114472720421,-0.22620679871436167,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
DXCM,2026-04-24,v40,B,False,True,False,False,40.32138897829214,2.2181638189539066,-0.9361981290621156,0.43908112831734647,-0.500414171787836,0.5545124898919324,2.2162062586582896,-3.2627657965131895,-6.055158313346231,-3.826924518446584,-0.7262160893252136,DOWN,US_OR_OTHER,False,True,False,False,,False,False,AVOID,Patrón despriorizado o desactivado por falta de evidencia suficiente.,0,"quality=AVOID,disabled_pattern_family_penalty",DISABLED,Patrón desactivado por falta de evidencia suficiente.,0,disabled,,,,disabled
