ticker,signal_date,system,pattern_family,A_sobreventa_estructural,B_rebote_suave,D_pullback_controlado,E_microcorreccion_compresion,close,rsi14,atr14,dist_ema20_atr,dist_bb_lo_atr,body_atr_ratio,wick_low_atr_ratio,bb_width,dist_ema20_pct,dist_ema50_pct,roc10,vol_zscore10,trend_regime,market_bucket,is_trend_up,is_trend_down,is_trend_range,is_supersignal_v40,supersignal_tipo_v40,is_e_prime_v40,is_change_candidate,quality_tier,quality_note,signal_score,signal_score_reasons,setup_code,setup_note,holding_horizon_days,trade_style,entry_price,stop_price,target_price,signal_status,ret_5d,ret_10d,ret_20d,wf_evidence_score,wf_evidence_label
BIDU,2024-06-20,v40_research,A,True,False,False,False,88.80999755859375,26.309121300389663,2.272920529708792,-3.171140218950385,-0.0611879271583744,-0.9547213683787996,0.1451851031951545,6.244325075115871,-7.506684869785074,-10.741322144988995,-8.819305783073128,2.1027440296835254,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,88.80999755859375,85.85520086997232,93.12854656504044,research,-0.0199301507907218,0.0018016402038949497,0.01756564836024288,93,STRONG
NKE,2024-07-01,v40_research,A,True,False,False,False,76.83000183105469,22.110371280387422,3.0845172227457867,-4.699801283669541,-1.54519282246664,0.4311863851000779,0.3922815134731311,7.515811285848561,-15.873376272228946,-17.13680668317703,-17.732088732007533,0.4898701155768986,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,76.83000183105469,72.82012944148516,82.69058455427168,research,-0.056878857769539715,-0.05232336556884021,-0.03266955715749997,93,STRONG
NKE,2024-07-02,v40_research,A,True,False,False,False,76.04000091552734,21.480996435992097,2.974909067675217,-4.64913385096154,-0.828111012137957,-0.2621924776700538,0.2184945862519619,9.254699329100148,-15.38960144418806,-17.40618983104204,-19.957893773129108,-0.0683644416407323,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,76.04000091552734,72.17261912754957,81.69232814411026,research,-0.046028405547866025,-0.03905840590405163,-0.015518152169496147,93,STRONG
NKE,2024-07-03,v40_research,A,True,False,False,False,75.23999786376953,20.83424147156057,2.835273010874197,-4.668809090213961,-0.1702729114342558,-0.0917026809175961,0.0775943691698642,10.984291274376346,-14.961285531762858,-17.685217050877753,-20.61616497909845,-0.3869657410327607,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,75.23999786376953,71.55414294963307,80.6270165844305,research,-0.024587965532252176,-0.03801170509773155,-0.01847420825509838,93,STRONG
NKE,2024-07-05,v40_research,A,True,False,False,False,75.43000030517578,21.439224692576573,2.726324764282737,-4.329910266757236,0.7458229617775627,0.0256754792170311,0.2127412840367457,12.43678369419722,-13.532156261689332,-16.907846586193997,-21.073558076760317,-0.3161427853453016,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,75.43000030517578,71.88577811160822,80.61001735731298,research,-0.02664725080337227,-0.03619254071176592,-0.018825376683020867,93,STRONG
NKE,2024-07-08,v40_research,A,True,False,False,False,73.05000305175781,19.4356439668438,2.7094442713889366,-4.736695073478543,0.8023155240347146,-0.8710275517649826,0.01845509512258,13.53807259693528,-14.943224662547047,-18.908550650456966,-24.83020907351532,-0.0622396244629223,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,73.05000305175781,69.5277254989522,78.19794716739679,research,-0.02381937605028195,0.024777515167402786,-0.02231354982500955,93,STRONG
NKE,2024-07-09,v40_research,A,True,False,False,False,72.45999908447266,18.96253909754489,2.6416269760204747,-4.597680448353056,1.4528160316011456,-0.3179873520789809,0.0302850598441448,14.680194733374698,-14.355304799502257,-18.941626315992067,-25.42965889688549,-0.2972550956243686,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,72.45999908447266,69.02588401564604,77.47909033891156,research,0.004830230175866701,0.01297270843614573,0.0005520413474020547,93,STRONG
SBUX,2024-07-09,v40_research,A,True,False,False,False,72.75,25.59208946702168,1.5225125031430269,-3.247303037708167,-0.8831265789351211,-1.2347992213771393,0.0131339762564352,5.83696861516999,-6.363497427890841,-8.61612996906247,-8.754550436534736,0.5850074738224501,DOWN,US_OR_OTHER,False,True,False,False,,False,True,HIGH,Patrón A en US/otros: mejor evidencia forward actual.,100,"quality=HIGH,pattern_A_positive_base,A_US_strength,deep_oversold_rsi,deep_ema_dislocation",A_REV_US,Reversal de sobreventa estructural en US/otros con RSI profundo.,7,mean_reversion_reversal_fast,72.75,70.77073374591407,75.64277375597175,research,0.03793817369388952,0.04824745204440517,0.03601378345817219,93,STRONG
AIR.PA,2024-07-17,v40_research,D,False,False,True,False,132.0800018310547,33.73205468645108,2.940535359347347,-1.429167441708705,2.940234528486417,-0.3468770641436285,0.2584544696665775,8.095710353297154,-3.0836804460203537,-8.303532353084675,-2.767958339371024,1.310553816638539,DOWN,EU,False,True,False,False,,False,False,MEDIUM,D_EU_TACTICAL es uno de los pocos setups rescatables.,68,"quality=MEDIUM,pattern_D_weak_base,D_EU_context_rescue",D_EU_TACTICAL,Pullback táctico europeo en contexto específico.,5,tactical_pullback_compact,132.0800018310547,129.13946647170735,136.19675133414097,research,-0.011205297600102582,0.05966084777082248,0.01953362958273419,64,OK
CPR.MI,2024-07-17,v40_research,D,False,False,True,False,8.564000129699707,36.95459683872362,0.1905822186857566,-1.3371367237200371,2.6726015013967075,0.1784027752587848,0.1049389823839329,8.481906297961473,-2.8896616692590027,-6.276457022000226,-0.9942137875513456,-0.9662996664973714,DOWN,EU,False,True,False,False,,False,False,MEDIUM,D_EU_TACTICAL es uno de los pocos setups rescatables.,68,"quality=MEDIUM,pattern_D_weak_base,D_EU_context_rescue",D_EU_TACTICAL,Pullback táctico europeo en contexto específico.,5,tactical_pullback_compact,8.564000129699707,8.37341791101395,8.830815235859767,research,-0.008173714825325806,-0.026155998799555213,-0.06422234731495136,64,OK
