ticker,signal_date,system,pattern_family,A_sobreventa_estructural,B_rebote_suave,D_pullback_controlado,E_microcorreccion_compresion,rsi14,atr14,dist_ema20_atr,dist_bb_lo_atr,body_atr_ratio,wick_low_atr_ratio,bb_width,dist_ema20_pct,dist_ema50_pct,roc10,vol_zscore10,trend_regime,is_trend_up,is_trend_down,is_trend_range,is_supersignal_v40,supersignal_tipo_v40,is_e_prime_v40,is_change_candidate
ADEN.SW,2025-12-01,v40,B_D,False,True,True,False,42.455374831404036,0.8890832165879136,-1.132687805780449,1.1037662702398767,0.1799604856181518,0.4499012140453795,5.509810884049973,-4.284049076693231,-4.626693876306809,-8.53658678416761,-0.615326294527397,DOWN,False,True,False,False,,False,False
ALTR.LS,2025-12-01,v40,B_D,False,True,True,False,33.96948778544744,0.0883163451821865,-1.3598739269956712,2.443134971126435,-0.5661433769090126,0.16984787234809046,8.260497858633869,-2.5827210832461645,-5.4585242208092914,-2.9978557644199877,0.255840763552431,DOWN,False,True,False,False,,False,False
AMP.MI,2025-12-01,v40,B,False,True,False,False,39.81296718625006,0.34090024540011515,-0.9853537085970024,2.1726159135919936,0.3813435636819164,0.4253429149608593,6.3883515510824,-2.457995031358917,-7.185767307552138,-0.8184498520208083,1.2975907382629033,DOWN,False,True,False,False,,False,False
ANA.MC,2025-12-01,v40,B_D,False,True,True,False,35.6318764646054,5.36083409727114,-1.7587265117161173,1.8721774853155835,-0.22384519395088717,0.16788318387664797,8.885345828472062,-5.2546026180246175,-5.906625215235239,-6.232764953970726,-0.2797376981255867,DOWN,False,True,False,False,,False,False
BA,2025-12-01,v40,B_D,False,True,True,False,37.54364205281601,4.802367382840549,-1.059147497093866,1.9598852283621564,-0.5205765824857149,0.010412167119181259,5.729500422456148,-2.655447874043526,-7.837903972634475,-4.143531452582239,-0.705362618833817,DOWN,False,True,False,False,,False,False
BMPS.MI,2025-12-01,v40,B_D,False,True,True,False,44.815237926578135,0.2752725915744234,-1.0906879463798735,1.6242579462108988,-0.31241746654051983,0.32331669694429543,5.939665450384534,-3.6528513597609225,-0.34382364834887325,-9.30019244975242,0.33501154766453045,DOWN,False,True,False,False,,False,False
CLNX.MC,2025-12-01,v40,B_D,False,True,True,False,36.436306186505284,0.5463672143251155,-1.079684371980805,1.5745227869348746,-0.20132742250796004,0.27454342417706706,4.721246189733334,-2.2515507145173586,-6.7366129228870975,-0.9667439833699221,-1.3803201314353135,DOWN,False,True,False,False,,False,False
DSY.PA,2025-12-01,v40,E,False,False,False,True,39.64077656276028,0.5385862957333761,-0.6716147367923613,1.4003398823079485,-0.3527763991820464,0.42704306451604923,2.4813238960439135,-1.4939973298085607,-6.527550204978305,1.3599646641992535,-0.29625324562122185,RANGE,False,False,True,False,,False,False
EDEN.PA,2025-12-01,v40,D,False,False,True,False,38.082304715114866,0.7762181835902743,-1.0795492874840236,2.991569573034066,0.48955445279264087,0.3349576631653307,8.142323691993546,-4.251913974272991,-10.706526548439733,-0.9448735172491451,1.0194845276493043,DOWN,False,True,False,False,,False,False
EDP.LS,2025-12-01,v40,D,False,False,True,False,39.94464904487679,0.07486353339035426,-1.0273380293447634,4.036600192449046,-0.09350306037416851,0.12021958535641987,9.821712390958755,-1.9746322831816099,-4.067156111886893,-0.5729124078060588,-0.6057787133871269,DOWN,False,True,False,False,,False,False
EDPR.LS,2025-12-01,v40,B,False,True,False,False,41.88670071977105,0.2955974456830652,-0.9293607853726402,2.4128357471693684,0.10148847159984135,0.13531903755323602,6.753972134923818,-2.3450561524692493,-2.7602241313797293,-1.8025754937618044,-0.4739890238961479,DOWN,False,True,False,False,,False,False
ELIOR.PA,2025-12-01,v40,E,False,False,False,True,45.23655535794571,0.11026833402509308,-0.4277411519317626,0.6995093231685817,-0.23578866152332484,0.2539249203068194,2.2115829318701783,-1.747439756133795,-2.1332214630927826,-1.0447804347313627,-0.5368788036288092,DOWN,False,True,False,False,,False,False
FI,2025-12-01,v40,A_B,True,True,False,False,24.666432253929173,2.9853427188596227,-1.956044035129917,1.1196699322191699,0.4187123950973006,0.3299442939772593,2.1629672755860105,-8.521097029140567,-30.279981311055426,-1.1510557605058258,1.9382046328384073,DOWN,False,True,False,False,,False,True
FME.DE,2025-12-01,v40,B_D,False,True,True,False,38.60171577844567,0.767088709641598,-1.2029398955471966,1.656852476838849,-0.6257418942596459,0.0,4.048954787529364,-2.2164314756198733,-5.221427106406951,1.5465176590794938,0.6921131404305327,RANGE,False,False,True,False,,False,False
FRE.DE,2025-12-01,v40,B,False,True,False,False,37.041467193440226,0.7833118250170101,-1.7634224721467937,0.4039285692931021,-0.9702421334108735,0.07659473108611263,4.7794580630535854,-2.8927158547778165,-2.680683404867845,-5.076764830504821,1.5161552873178548,DOWN,False,True,False,False,,False,False
GLINT.LS,2025-12-01,v40,A,True,False,False,False,31.09217150755225,0.042172889769624314,-2.941799821874876,-0.5596594899315244,-1.185594645977929,0.0,5.780846099749429,-7.832018213335168,-6.79672131532093,-10.975606653535696,0.7903009022006774,DOWN,False,True,False,False,,False,False
HO.PA,2025-12-01,v40,A_B_D,True,True,True,False,30.001903982641423,6.226421934707719,-2.2810035763775853,0.09340636224889706,-0.2569703949224418,0.2730295129480313,5.10938307411525,-6.0771670248343845,-8.878306167017724,-9.559125356392062,0.7582675743859929,DOWN,False,True,False,False,,False,False
IDR.MC,2025-12-01,v40,B,False,True,False,False,43.5943006368827,1.9412551370870632,-0.9788677115694289,0.5421671133056031,-0.9066290607087105,0.7726959590952143,4.199329265925873,-4.081233918501958,0.3094377338042742,-10.858281022740911,-0.12816327342406966,RANGE,False,False,True,False,,False,False
IMCD.AS,2025-12-01,v40,B_D,False,True,True,False,33.72122929616084,2.1335712988083024,-1.6888846002940643,2.0556987477038833,-0.12186240805530703,0.42182866182236256,7.068880742775896,-4.482713782065617,-10.219035568351531,2.6745119452364907,-0.8994134571528686,RANGE,False,False,True,False,,False,False
JMT.LS,2025-12-01,v40,B_D,False,True,True,False,39.75597778116476,0.4241555802316163,-1.616405118915038,0.06127796322040752,0.18860985787896406,0.18860985787895568,4.790655979643705,-3.2270542340064434,-3.156013884690545,-4.990757644026001,0.8816999455961443,DOWN,False,True,False,False,,False,False
LDO.MI,2025-12-01,v40,B_D,False,True,True,False,38.01715075756969,1.766695694598598,-1.384012225764137,0.8486568656673809,-0.3848995088711532,0.2943350455618892,5.0725411366953805,-5.080772777667708,-7.653555419320379,-10.571654918375339,-0.438494608204957,DOWN,False,True,False,False,,False,False
LI,2025-12-01,v40,A_B_D,True,True,True,False,28.09065006770696,0.6493367671598186,-1.9442396488104623,1.0799590851475904,-0.08470228078467064,0.5159125568794977,5.931457296516782,-6.574500556787721,-14.937023810939232,-9.256448565166398,-0.26720980519228316,DOWN,False,True,False,False,,False,True
LIN.DE,2025-12-01,v40,B_D,False,True,True,False,30.554238255787467,5.510840324663018,-1.3991887210924379,0.6184123064999018,-0.25404363291363974,0.5806759075762057,3.6357308114805784,-2.134092728416548,-5.573835469012522,-2.2664405655384967,-0.6055313476825147,DOWN,False,True,False,False,,False,False
LR.PA,2025-12-01,v40,D,False,False,True,False,38.114238130646825,2.9078817440163007,-1.202891879624029,2.8910008197643973,-0.3438929392702272,0.1719464696351136,7.6097905652680184,-2.643933214126104,-4.9051518334732425,-0.9230745755709147,-0.21647598660496511,DOWN,False,True,False,False,,False,False
MAP.MC,2025-12-01,v40,E,False,False,False,True,53.57492380338975,0.07696282835158616,0.4270633589498054,1.7127771176435655,0.493743138172521,0.02598778531041066,2.427673774170115,0.82270135322704,1.730828205134971,0.049673498016278295,-0.43782038047373345,UP,True,False,False,False,,False,False
MTX.DE,2025-12-01,v40,A,True,False,False,False,29.619222259323394,7.28320086930967,-2.060071101147244,0.11302184487022356,-1.057229142131444,0.5492090732874617,4.435730901278228,-4.202730319119663,-6.4344552793550776,-4.121113457798053,0.40556647602752754,DOWN,False,True,False,False,,False,True
NOS.LS,2025-12-01,v40,E,False,False,False,True,45.50128601082042,0.04782722378882951,-0.3444626679553441,1.1026064001169518,-0.5227168417262522,0.0,2.121579999856666,-0.4462902956037351,-1.4277428000343706,-0.4065069016685574,0.8360694596206282,DOWN,False,True,False,False,,False,False
NOW,2025-12-01,v40,B,False,True,False,False,39.56981644260461,23.816123240476728,-0.8287863036445475,1.6825823296359568,0.8565636064307732,0.11210820851054704,5.102894171616378,-2.344770469898627,-6.199253049258768,-3.3347818863174172,-0.42158696016397906,DOWN,False,True,False,False,,False,False
ORCL,2025-12-01,v40,A_B_D,True,True,True,False,30.350479753805743,11.850058521229517,-1.8482069447590936,1.285496110717348,0.03713082434301742,0.3206737793699553,6.33021391561503,-9.828229449909276,-17.816154235938942,-9.83172674984446,-1.227124534630105,DOWN,False,True,False,False,,False,False
